пульс_mean,пульс_std,пульс_min,пульс_max,пульс_slope,эмг_mean,эмг_std,эмг_min,эмг_max,эмг_slope,кгр_mean,кгр_std,кгр_min,кгр_max,кгр_slope,ээг_mean,ээг_std,ээг_min,ээг_max,ээг_slope,состояние
86.3217,2.4963,81.663,90.2849,-0.0838,10.5396,1.1695,8.9526,12.4395,0.0719,18.8497,2.2233,15.054,24.3844,-0.0693,41.0736,3.5717,34.9922,47.2569,-0.1686,0
81.9355,2.0586,76.9738,86.4825,-0.0844,23.6762,1.6599,20.5105,26.2668,-0.0605,24.718,2.5221,19.9565,29.5475,-0.0198,56.9729,4.4828,47.2095,66.0753,-0.3131,1
57.8336,1.7103,54.8525,61.9443,-0.0015,3.4052,0.4965,2.5644,4.4332,0.0255,5.5642,0.4182,4.93,6.1592,-0.0002,24.5391,2.0859,21.0467,28.2323,-0.1567,3
92.4451,3.2147,83.3856,99.5869,0.2406,41.4079,3.3479,36.6348,48.9781,-0.211,28.8484,2.8562,23.8457,35.1399,-0.128,54.7324,3.161,47.84,60.3407,-0.1,1
112.6432,3.2152,108.0112,119.6499,0.0107,78.2955,6.9092,62.7537,87.698,-0.3542,67.8619,6.0502,57.0731,77.9377,0.2175,64.0578,5.3861,52.1941,72.2548,0.2533,4
61.6867,1.5747,58.1912,64.9526,-0.0331,9.627,0.774,8.4394,11.5673,0.0199,8.9977,0.9601,7.5132,10.5165,-0.0293,33.2003,2.197,29.0273,37.5393,-0.0112,3
89.2307,2.7531,84.3331,93.5441,0.0869,36.9773,3.0517,32.022,43.9917,-0.0622,40.3814,3.6765,33.6378,51.2142,0.0068,72.8193,4.5728,63.828,84.1176,-0.1167,1
80.5089,2.5179,75.1994,86.1633,-0.0044,22.8622,2.2863,19.3226,28.1836,-0.0857,23.0598,1.6643,20.4417,25.7733,0.0113,36.9912,1.8062,33.4674,40.0545,-0.1435,0
67.3485,1.9887,63.6942,71.7497,-0.0784,10.5162,1.327,8.1217,13.1169,0.0718,14.731,1.3794,12.3597,17.7961,-0.0549,38.9837,2.2406,34.3403,44.7955,-0.0623,0
93.5921,3.2138,85.1526,102.5854,0.2248,54.1485,3.5236,49.0425,62.3127,-0.0461,39.554,3.2724,30.9678,44.3751,0.1227,66.5655,5.2245,56.9263,77.8658,0.1401,1
132.6642,5.0002,124.5389,141.6003,0.0263,73.3025,5.9184,59.5754,84.2268,-0.0458,98.3978,3.0574,89.8332,100.0,-0.0505,94.1748,4.2671,86.1521,100.0,-0.2973,5
95.605,2.5563,90.4732,99.7707,0.0043,46.7933,3.4793,38.9264,52.0852,0.1387,39.6443,4.0111,32.2513,47.6999,0.0336,66.3079,6.3343,54.8688,77.3374,-0.1434,1
73.6264,1.8524,70.5377,78.0455,0.0542,21.4226,1.5141,18.5732,23.9205,-0.0459,21.6929,1.781,17.4185,24.8304,0.1103,54.0683,3.577,49.6477,63.6795,-0.1325,0
70.8746,2.6048,65.178,76.3259,-0.1159,17.7376,1.2474,15.3499,20.0707,0.0162,9.5052,0.845,7.5246,10.7528,-0.0621,21.7459,1.5165,17.8599,25.8857,0.0048,3
102.8155,3.8577,95.9302,109.7195,-0.0606,51.6766,3.531,43.0984,59.7185,0.2433,53.3874,4.6962,45.3895,61.7179,-0.0186,69.6545,3.8002,61.182,77.4344,0.0279,4
64.5725,2.0012,60.0202,67.4339,0.0896,16.9265,1.3738,13.6523,19.0558,-0.0585,22.9783,1.6079,20.3113,26.4686,-0.0365,37.7664,2.485,32.3478,43.8246,0.0302,0
138.1204,4.15,130.0761,147.3447,0.103,94.0596,5.7221,82.4347,100.0,-0.1237,73.0364,6.7017,60.7804,87.2571,0.0393,91.0717,6.8991,74.2336,100.0,-0.663,5
78.3015,2.6444,73.1637,84.1593,-0.1624,11.9023,1.1753,10.101,15.2651,0.0545,19.207,2.0134,16.0808,22.7353,-0.0403,46.7771,2.5959,40.1297,52.0122,0.1538,0
